rebalance_date,signal_date,entry_date,holdings,n_holdings,n_sold,n_bought,turnover_est,cost,skipped_no_hold_dates,strategy
2025-12-18,2025-12-18,2025-12-19,"['INTC', 'EBAY', 'CRM', 'AVGO', 'PEP', 'ODFL', 'LRCX', 'QCOM', 'PANW', 'NVDA']",10,7,7,1.4,0.0014,False,ML_Full
2026-01-20,2026-01-20,2026-01-21,"['MNST', 'NFLX', 'ISRG', 'AMZN', 'EBAY', 'MDLZ', 'CRM', 'AMGN', 'AAPL', 'LRCX']",10,7,7,1.4,0.0014,False,ML_Full
2026-02-03,2026-02-03,2026-02-04,"['SBUX', 'MNST', 'GILD', 'ODFL', 'MDLZ', 'AMGN', 'AAPL', 'NFLX', 'VRTX', 'FAST']",10,5,5,1.0,0.001,False,ML_Full
2026-02-18,2026-02-18,2026-02-19,"['MNST', 'SBUX', 'AMGN', 'PAYX', 'AAPL', 'NFLX', 'GILD', 'MSFT', 'GOOGL', 'CRM']",10,4,4,0.8,0.0008,False,ML_Full
2020-01-31,2020-01-31,2020-02-03,"['REGN', 'ODFL', 'ISRG', 'AAPL', 'QCOM', 'INTC', 'SBUX', 'MDLZ', 'GOOGL', 'PAYX']",10,0,10,1.0,0.001,False,ML_Base
2020-02-20,2020-02-20,2020-02-21,"['MDLZ', 'EBAY', 'AAPL', 'GILD', 'AMZN', 'FAST', 'AMGN', 'AVGO', 'MNST', 'GOOGL']",10,7,7,1.4,0.0014,False,ML_Base
2020-03-05,2020-03-05,2020-03-06,"['PANW', 'NVDA', 'AMD', 'CDNS', 'GOOGL', 'AMZN', 'ODFL', 'AAPL', 'INTC', 'MNST']",10,6,6,1.2,0.0012,False,ML_Base
2020-03-19,2020-03-19,2020-03-20,"['PANW', 'SNPS', 'QCOM', 'MU', 'CRM', 'AMAT', 'LRCX', 'PAYX', 'MDLZ', 'AVGO']",10,9,9,1.8,0.0018,False,ML_Base
2020-04-02,2020-04-02,2020-04-03,"['PEP', 'AMAT', 'QCOM', 'FAST', 'SBUX', 'PAYX', 'CRM', 'AAPL', 'INTC', 'AMD']",10,6,6,1.2,0.0012,False,ML_Base
2020-04-17,2020-04-17,2020-04-20,"['ODFL', 'PEP', 'AVGO', 'INTC', 'CRM', 'PANW', 'MDLZ', 'MNST', 'MU', 'QCOM']",10,6,6,1.2,0.0012,False,ML_Base
2020-05-01,2020-05-01,2020-05-04,"['NVDA', 'ORCL', 'AMD', 'EBAY', 'AMZN', 'MNST', 'REGN', 'ODFL', 'MSFT', 'NFLX']",10,8,8,1.6,0.0016,False,ML_Base
2020-05-15,2020-05-15,2020-05-18,"['GILD', 'ODFL', 'MDLZ', 'AVGO', 'MSFT', 'GOOGL', 'MNST', 'AMZN', 'AMGN', 'ORCL']",10,5,5,1.0,0.001,False,ML_Base
2020-06-01,2020-06-01,2020-06-02,"['AMZN', 'NFLX', 'ORCL', 'CDNS', 'MSFT', 'INTC', 'AMGN', 'MDLZ', 'AVGO', 'AAPL']",10,4,4,0.8,0.0008,False,ML_Base
2020-06-15,2020-06-15,2020-06-16,"['AVGO', 'PAYX', 'SBUX', 'CDNS', 'PANW', 'MDLZ', 'EBAY', 'ISRG', 'ODFL', 'MSFT']",10,6,6,1.2,0.0012,False,ML_Base
2020-06-29,2020-06-29,2020-06-30,"['AVGO', 'QCOM', 'MSFT', 'GOOGL', 'AAPL', 'SBUX', 'ORCL', 'SNPS', 'EBAY', 'CRM']",10,6,6,1.2,0.0012,False,ML_Base
2020-07-27,2020-07-27,2020-07-28,"['GOOGL', 'PANW', 'EBAY', 'AAPL', 'META', 'NVDA', 'CRM', 'MNST', 'MSFT', 'INTC']",10,5,5,1.0,0.001,False,ML_Base
2020-09-10,2020-09-10,2020-09-11,"['TSLA', 'NVDA', 'PANW', 'LRCX', 'GOOGL', 'SNPS', 'MSFT', 'AMZN', 'CDNS', 'NFLX']",10,6,6,1.2,0.0012,False,ML_Base
2020-09-24,2020-09-24,2020-09-25,"['ISRG', 'FAST', 'AMD', 'ODFL', 'MNST', 'GOOGL', 'AVGO', 'MDLZ', 'GILD', 'AMZN']",10,8,8,1.6,0.0016,False,ML_Base
2020-10-08,2020-10-08,2020-10-09,"['MDLZ', 'FAST', 'MNST', 'QCOM', 'AAPL', 'LRCX', 'ISRG', 'ORCL', 'PEP', 'AMD']",10,5,5,1.0,0.001,False,ML_Base
2020-10-22,2020-10-22,2020-10-23,"['TSLA', 'AAPL', 'NVDA', 'VRTX', 'AMD', 'CRM', 'AMZN', 'PEP', 'MDLZ', 'FAST']",10,5,5,1.0,0.001,False,ML_Base
2020-11-05,2020-11-05,2020-11-06,"['INTC', 'ORCL', 'CRM', 'TSLA', 'GOOGL', 'MU', 'AVGO', 'AAPL', 'MSFT', 'SBUX']",10,7,7,1.4,0.0014,False,ML_Base
